1,Jorge,Posada,NYY,2,0,8,176,5,10,9,3,10,1,1,
2,Wil,Nieves,NYY,2,0,4,83,5,6,6,1,9,1,2,
3,Josh,Phelps,NYY,3,0,6,104,7,4,5,2,9,1,3,
4,Doug,Mientkiewicz,NYY,3,0,8,126,6,13,10,2,13,1,4,
5,Jason,Giambi,NYY,3,0,7,206,5,4,4,4,8,1,5,
6,Miguel,Cairo,NYY,4,6,5,97,9,11,11,2,9,1,6,
7,Robinson,Cano,NYY,4,0,13,186,10,12,9,3,11,2,1,
8,Alex,Rodriguez,NYY,5,0,9,190,8,13,11,3,10,2,2,
9,Derek,Jeter,NYY,6,0,13,162,12,10,13,2,11,2,3,
10,Bobby,Abreu,NYY,9,0,10,162,12,12,12,3,11,2,4,
11,Johnny,Damon,NYY,8,0,9,163,12,8,11,3,10,2,5,
12,Melky,Cabrera,NYY,8,7,9,131,10,11,8,2,10,2,6,
13,Hideki,Matsui,NYY,7,0,7,130,9,10,11,2,10,3,1,
14,Kevin,Thompson,NYY,9,0,5,100,8,5,5,2,9,3,2,
15,Jason,Phillips,TOR,2,3,5,99,5,4,9,2,5,1,1,
16,Gregg,Zaun,TOR,2,0,7,143,5,8,9,3,12,1,2,
17,Frank,Thomas,TOR,3,0,8,211,4,4,4,4,9,1,3,
18,Lyle,Overbay,TOR,3,0,11,181,7,11,7,3,12,1,4,
19,Jason,Smith,TOR,4,0,5,109,9,8,10,2,8,1,5,
20,Aaron,Hill,TOR,4,6,9,131,10,8,6,2,8,1,6,
21,Troy,Glaus,TOR,5,0,7,191,7,8,10,4,10,2,1,
22,Royce,Clayton,TOR,6,0,7,108,9,12,12,2,9,2,2,
23,John,McDonald,TOR,6,0,5,99,11,12,10,2,8,2,3,
24,Matt,Stairs,TOR,3,0,6,137,6,12,4,3,9,2,4,
25,Vernon,Wells,TOR,8,0,10,189,11,13,13,3,11,2,5,
26,Alex,Rios,TOR,9,0,10,178,12,11,12,3,11,2,6,
27,Reed,Johnson,TOR,9,7,11,159,12,11,11,2,11,3,1,
28,Adam,Lind,TOR,7,0,6,110,6,4,4,2,8,3,2,
29,Jason,Varitek,BOS,2,0,6,133,6,12,12,3,12,1,1,
30,Doug,Mirabelli,BOS,2,0,3,106,4,7,8,2,12,1,2,
